headers = ['Signal', 'Data', 'TTBar', 'ZJets', 'WJets', 'sTop', 'VV', 'TTV']
L_t_LQuujj300 = [[19002.527629733457, 6348] , [0, 0] ,  [0.12601978264479916, 1] ,  [0.6859072231272416, 60] ,  [0.0, 0] ,  [0.0, 0] ,  [0.24186060684904367, 17] ,  [0.04234264532037193, 48]  ]
L_t_LQuujj400 = [[5555.90147371265, 8786] , [0, 0] ,  [0.0, 0] ,  [0.7933113897835138, 50] ,  [0.0, 0] ,  [0.3819942817373484, 2] ,  [-0.013424981060190223, 3] ,  [0.012470703998303016, 17]  ]
L_t_LQuujj500 = [[3439.1536090425107, 19990] , [2, 2] ,  [0.5854199037490889, 3] ,  [0.7191730398576603, 84] ,  [0.0, 0] ,  [0.4112534513340784, 2] ,  [0.05374347924736693, 8] ,  [0.025383650203593462, 30]  ]
L_t_LQuujj600 = [[1393.7203144677558, 23902] , [0, 0] ,  [0.0, 0] ,  [0.2177551012025882, 50] ,  [0.0, 0] ,  [0.0, 0] ,  [0.046232239375914586, 5] ,  [0.018211447203132558, 16]  ]
L_t_LQuujj700 = [[713.9632148410548, 31890] , [0, 0] ,  [0.0, 0] ,  [0.28334190678767207, 67] ,  [0.0, 0] ,  [0.0, 0] ,  [-0.013076443596157691, 12] ,  [0.020554822670458488, 26]  ]
L_t_LQuujj800 = [[336.3927243071157, 36991] , [0, 0] ,  [0.0, 0] ,  [-0.044213614636945384, 63] ,  [0.0, 0] ,  [0.0, 0] ,  [0.006334851313414953, 4] ,  [0.005680952849225236, 15]  ]
L_t_LQuujj900 = [[167.137092334146, 41425] , [0, 0] ,  [0.0, 0] ,  [0.10267332027305295, 65] ,  [0.0, 0] ,  [0.0, 0] ,  [0.06478889423167, 6] ,  [0.01126113768550301, 10]  ]
L_t_LQuujj1000 = [[84.27210672001932, 32306] , [1, 1] ,  [0.0, 0] ,  [0.15033943141100004, 71] ,  [0.0, 0] ,  [0.0, 0] ,  [0.05832228428781326, 5] ,  [0.010071486765913944, 6]  ]
L_t_LQuujj1100 = [[46.02290778923919, 49754] , [1, 1] ,  [0.0, 0] ,  [0.3999804112583158, 72] ,  [0.0, 0] ,  [0.0, 0] ,  [0.04149594011874207, 4] ,  [0.018055325488665532, 8]  ]
L_t_LQuujj1200 = [[21.558402216471, 47850] , [1, 1] ,  [0.0, 0] ,  [0.08624048654316235, 28] ,  [0.0, 0] ,  [0.19194324628734152, 1] ,  [-0.02499023428885319, 2] ,  [0.005320889082135759, 4]  ]
L_t_LQuujj1300 = [[11.355965837555036, 49010] , [0, 0] ,  [0.0, 0] ,  [0.04649251055796275, 17] ,  [0.0, 0] ,  [0.0, 0] ,  [0.0, 0] ,  [0.001287989908778187, 2]  ]
L_t_LQuujj1400 = [[7.080772967339045, 58809] , [0, 0] ,  [0.0, 0] ,  [0.1855257456116817, 43] ,  [0.0, 0] ,  [0.19194324628734152, 1] ,  [-0.0009081452584262743, 2] ,  [-0.001101938767348333, 5]  ]
L_t_LQuujj1500 = [[3.4182211939253, 53550] , [0, 0] ,  [0.0, 0] ,  [0.022116989683887735, 18] ,  [0.0, 0] ,  [0.0, 0] ,  [0.013477080091535403, 1] ,  [0.0009947521454741052, 1]  ]
L_t_LQuujj1600 = [[1.9561302072022078, 57091] , [0, 0] ,  [0.0, 0] ,  [0.17354366918001465, 21] ,  [0.0, 0] ,  [0.0, 0] ,  [0.0, 0] ,  [-0.001559044999338691, 3]  ]
